example_id                                                                                 | status | run_time        |
./spec/models/spree/loyalty_points_credit_transaction_spec.rb[1:2:1]                       | passed | 0.02436 seconds |
./spec/models/spree/loyalty_points_credit_transaction_spec.rb[1:3:1]                       | passed | 0.02365 seconds |
./spec/models/spree/loyalty_points_debit_transaction_spec.rb[1:1]                          | passed | 1.06 seconds    |
./spec/models/spree/loyalty_points_debit_transaction_spec.rb[1:2:1]                        | passed | 0.03609 seconds |
./spec/models/spree/loyalty_points_debit_transaction_spec.rb[1:3:1]                        | passed | 0.03918 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:1:1]                              | passed | 0.03393 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:1:2]                              | failed | 0.02879 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:1:3]                              | passed | 0.02834 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:1:4]                              | passed | 0.03916 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:1:5]                              | passed | 0.03458 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:2:1]                              | passed | 0.03841 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:2:2]                              | passed | 0.03584 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:3:1]                              | passed | 0.05502 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:3:2]                              | passed | 0.05291 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:4:1]                              | failed | 0.02441 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:4:2]                              | passed | 0.02385 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:5]                                | passed | 0.02486 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:6:1:1]                            | passed | 0.03131 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:6:2:1]                            | passed | 0.13878 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:7:1]                              | passed | 0.13889 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:8:1:1]                            | passed | 0.0405 seconds  |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:8:2:1]                            | passed | 0.03903 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:9:1:1:1]                          | passed | 0.63182 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:9:1:1:2]                          | passed | 0.95833 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:9:1:2:1]                          | passed | 0.80369 seconds |
./spec/models/spree/loyalty_points_transaction_spec.rb[1:9:2:1]                            | passed | 0.73876 seconds |
./spec/models/spree/order_decorator_spec.rb[1:1]                                           | passed | 0.83638 seconds |
./spec/models/spree/order_decorator_spec.rb[1:2:1]                                         | passed | 0.68242 seconds |
./spec/models/spree/order_decorator_spec.rb[1:2:2]                                         | passed | 0.77761 seconds |
./spec/models/spree/order_decorator_spec.rb[1:2:3]                                         | passed | 0.93223 seconds |
./spec/models/spree/order_decorator_spec.rb[1:3]                                           | passed | 0.8798 seconds  |
./spec/models/spree/order_decorator_spec.rb[1:4]                                           | passed | 0.92599 seconds |
./spec/models/spree/order_decorator_spec.rb[1:5]                                           | passed | 0.80361 seconds |
./spec/models/spree/order_decorator_spec.rb[1:6:1:1:1:1]                                   | passed | 0.70604 seconds |
./spec/models/spree/order_decorator_spec.rb[1:6:1:1:2:1]                                   | passed | 0.85159 seconds |
./spec/models/spree/order_decorator_spec.rb[1:6:1:2:1]                                     | passed | 1.02 seconds    |
./spec/models/spree/order_decorator_spec.rb[1:6:1:3:1]                                     | passed | 0.88792 seconds |
./spec/models/spree/order_decorator_spec.rb[1:6:2:1:1]                                     | passed | 0.66744 seconds |
./spec/models/spree/order_decorator_spec.rb[1:6:2:2:1]                                     | passed | 0.76488 seconds |
./spec/models/spree/order_decorator_spec.rb[1:6:2:3:1]                                     | passed | 0.76416 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:1:1:1]                                     | passed | 0.86345 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:1:2:1]                                     | passed | 0.84552 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:2:1:1]                                     | passed | 0.65889 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:2:1:2]                                     | passed | 0.81901 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:2:1:3]                                     | passed | 0.92567 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:2:2:1]                                     | passed | 0.59662 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:3:1:1]                                     | passed | 1.19 seconds    |
./spec/models/spree/order_decorator_spec.rb[1:7:3:1:2]                                     | passed | 1.05 seconds    |
./spec/models/spree/order_decorator_spec.rb[1:7:3:1:3]                                     | passed | 0.77939 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:3:2:1]                                     | passed | 0.73295 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:4:1]                                       | passed | 1.1 seconds     |
./spec/models/spree/order_decorator_spec.rb[1:7:5:1]                                       | passed | 0.80919 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:5:2]                                       | passed | 1.1 seconds     |
./spec/models/spree/order_decorator_spec.rb[1:7:5:3]                                       | passed | 0.76702 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:6:1]                                       | passed | 0.59476 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:7:1:1]                                     | passed | 0.74969 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:7:2:1]                                     | passed | 0.92614 seconds |
./spec/models/spree/order_decorator_spec.rb[1:7:8:1]                                       | passed | 1.1 seconds     |
./spec/models/spree/order_decorator_spec.rb[1:8:1]                                         | passed | 1.65 seconds    |
./spec/models/spree/order_decorator_spec.rb[1:9:1]                                         | passed | 1.62 seconds    |
./spec/models/spree/order_decorator_spec.rb[1:10:1]                                        | passed | 3.05 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:1:1]                                       | passed | 0.88789 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:1:2]                                       | passed | 0.86077 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:1:3]                                       | passed | 0.67218 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:2:1]                                       | passed | 0.79492 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:2:2]                                       | passed | 0.74646 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:2:3]                                       | passed | 0.62618 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:2:4]                                       | passed | 0.64921 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:3:1]                                       | passed | 0.84685 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:3:2]                                       | passed | 0.63246 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:3:3]                                       | passed | 0.61295 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:3:4]                                       | passed | 0.60589 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:4:1:1]                                     | passed | 0.88645 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:4:2:1]                                     | passed | 0.63064 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:5:1]                                       | failed | 0.70566 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:5:2]                                       | failed | 0.79446 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:6:1:1]                                     | passed | 5.53 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:6:2:1]                                     | passed | 5.45 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:7:1:1:1]                                   | passed | 5.05 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:7:1:1:2]                                   | passed | 4.73 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:7:1:1:3]                                   | passed | 5.68 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:7:2:1:1]                                   | passed | 7.27 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:8:1:1:1:1]                                 | passed | 0.879 seconds   |
./spec/models/spree/payment_decorator_spec.rb[1:8:1:1:2:1]                                 | passed | 0.72486 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:8:1:2:1]                                   | passed | 1.34 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:8:1:3:1]                                   | passed | 0.92206 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:8:2:1:1]                                   | passed | 0.98083 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:8:2:2:1]                                   | passed | 0.70902 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:8:2:3:1]                                   | passed | 1.13 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:9:1:1]                                     | failed | 1.5 seconds     |
./spec/models/spree/payment_decorator_spec.rb[1:9:2:1:1]                                   | passed | 4.85 seconds    |
./spec/models/spree/payment_decorator_spec.rb[1:9:2:2:1]                                   | passed | 0.7684 seconds  |
./spec/models/spree/payment_decorator_spec.rb[1:9:3:1]                                     | passed | 0.88297 seconds |
./spec/models/spree/payment_decorator_spec.rb[1:9:3:2]                                     | passed | 0.83181 seconds |
